Name,Review,UpVotes,Rating,Date
Tencent Games,"This game is awesome, I've been playing this game since season 2, but it been getting worse ever since the new updates the maps are glitched out. The buildings are blurry and take within 15 seconds to load properly. When I land I don't roll, I just lean forward. Within 15 seconds I end up rolling, t...
Full Review",2450,Rated 1 stars out of five stars,"April 26, 2019"
,,,,
TYCOON GAMING,"Definitely love this game. I like how i was able to ease into the game unlike some other games out there. Ive read a few negative comments, and all i have to say is I havent had any trouble. Players need to know that they have to have a good signal to play this game. Dont blame PubG, blame your serv...
Full Review",15,Rated 2 stars out of five stars,"April 20, 2020"
,,,,
Tencent Games,"no doubt, it is an excellent game. but after the new season arrived, the game is lagging a lot. Whenever the enemy comes nearer to me, instead of firing at him It fires in the air or on my teammates. And also sometimes the mike automatically gets muted. When I switch it on, me and my teammates still...
Full Review",2764,Rated 5 stars out of five stars,04-Dec-18
,,,,
A Google user,"Gameplay wise this game is unbeatable in the mobile platform but since the 0.17 artic update, the game randomly crashes sometimes during the gameplay and even if I log back in to the match it again crashes. This following issue continued for a dozen of matches (not every match I play) and eventually...
Full Review",11,Rated 4 stars out of five stars,"April 27, 2020"
,,,,
caroline white,"Dear tencent, this is a great game but out of the many battle royale games this one has the most bugs, i am probbably the most unlucky player in pubg, encountering bugs, that has not been encountered by anyone else, like the glitch with the freefall looking ride, where its suppose to launch you but ...
Full Review",10,Rated 2 stars out of five stars,"April 6, 2020"
,,,,
Tencent Games,"i used to like this game a lot...i still like it...but not like past times....new modes have made the game more laggy and choppy..u cant play it smoothly in a 4 gb ram device....frame drops are very high when enemy comes near you...lucky spjns resource pack and new modes are making the game more com...
Full Review",4,Rated 3 stars out of five stars,"April 9, 2020"
,,,,
SHISUI UCHIHA,"the game is awesome. everything from graphics to all the special features. just 2 things I would like for you to really look in to. #1 MOST IMPORTANTLY STOP THE HACKERS.. go on YouTube and check out the latest hacks. It seriously is ruining the gaming experience. that has cost you guys 2 stars. I kn...
Full Review",128,Rated 3 stars out of five stars,"April 28, 2020"
,,,,
jono anishkar,"The game is Awesome! I really enjoy the game and I really like this Arctic mode. But nowadays in the Classic Erangel map I didn't found any Anniversary mode! Why? Whatever I really like all the maps. But you have to improve something more in Miramar map. The graphic is not so good. It's OK! But if c...
Full Review",570,Rated 2 stars out of five stars,"April 26, 2020"
,,,,
Alby King,"I have only given it 1 star just to draw the attention of the developers because earlier there was no problem in the game there was no lag no problem but now, i use my realme 2 pro 4 gb variant for playing in early days the game used to run smoothly but now i dont know why it is getting laggy and th...
Full Review",9,Rated 4 stars out of five stars,"April 28, 2020"
,,,,
Christopher Meguerditchian,"It's a good game, i have been playing from past 10 months, it will immerse you so badly that you will be kind of addicted to it, but the recebt update has made my pubg experience so bad because when ever i play it's showing server problem and so many lags before the update it never happened to me, t...
Full Review",2,Rated 1 stars out of five stars,"April 12, 2020"
,,,,
Jay A,"Best shooting game ever!! But there's one problem I'm facing these days, which is once i played a match when my tier was gold II with 2531/2600 , i finished 5th in that match and it went to 2560 and the very next match i finished 12 th and got +11 but this time it showed 2547/2600....i would like if...
Full Review",4,Rated 2 stars out of five stars,"April 27, 2020"
,,,,
Unknown,"Game just stop giving response for 1- 2 seconds,� whenever I'm trying to take fight, & start responding when I'm knocked out, although I play in stable network & the ping is under 40, & having 4gb ram,& lots of free space in phone, but still these things happens in every single gameplay. Fix it.......
Full Review",7,Rated 3 stars out of five stars,"April 28, 2020"
,,,,
Visharad Thakur,"I enjoyed this game and i played it since season 2...but since the recent update..i noticed that when we got into fight with players from other country..it got lag and i noticed that my controller sometimes got stuck and unresponsive..and then turn to ""screen freeze""..maybe they using cheats or hack...
Full Review",8,Rated 2 stars out of five stars,"April 26, 2020"
,,,,
Raju Sarkar,"I just installed this game, entire the day I tried to get content and play this game. A notice pop up (server is currently under Maintenance. Please check the official site for further information) I just wanna to know, I'm the only lucky person in this planet or someone else having this issue as we...
Full Review",306,Rated 4 stars out of five stars,"April 1, 2020"
,,,,
Tencent Games,"Graphics are good, but the game still needs some improvement when it comes to bugs and cheaters. We loved playing your game but when cheaters play we loose interest. Sometimes choppy even the connection is good. The game is crashing every day. Hard to get back to the game. Always like this, not good...
Full Review",46,Rated 1 stars out of five stars,"April 10, 2020"
,,,,
toxicbeast 56,"This is the best game ever I've played but from few weeks ago I've seen lot's of bugs hackers in this game, i have also report in game but no response to me, finally I've decided to uninstall and reinstall it for start it again with no bugs, I've reinstalled it now when I'm going to open game isn't ...
Full Review",37,Rated 3 stars out of five stars,"April 12, 2020"
